,WFBN_INFO_1_matrix_1,WFBN_INFO_1_matrix_2,WFBN_tal_2_matrix_1,WFBN_tal_2_matrix_2,WFBN_tal_2_matrix_3,WFBN_advnet_5_matrix_1,WFBN_advnet_5_matrix_2,WFBN_advnet_5_matrix_3,Bhea_Orgres_1_matrix_1,Bhea_Orgres_1_matrix_2,Bhea_Orgres_1_matrix_3,Bhea_Orgres_1_matrix_4,Bhea_Orgres_1_matrix_5,Bhea_Opres_2_matrix_1,Bhea_Opres_2_matrix_2,Bhea_Opres_2_matrix_3,Bhea_Opres_5_matrix_1,Bhea_Opres_5_matrix_2,Bhea_Opres_5_matrix_3,Tech_rc_1_matrix_1,Tech_rc_1_matrix_2,Tech_rc_1_matrix_3,Tech_rc_2_matrix_1,Tech_rc_2_matrix_2,Adapt_main_1_matrix_1,Adapt_main_1_matrix_2,Adapt_main_1_matrix_3,Adapt_main_1_matrix_4,Mind_Creat_1_matrix_1,Mind_Creat_1_matrix_2,Mind_Creat_1_matrix_3,Mind_Trust_2_matrix_1,Mind_Trust_2_matrix_2,Mind_Trust_2_matrix_3,Mind_Hope_3_matrix_1,Mind_Hope_3_matrix_2,Mind_Hope_3_matrix_3,Mind_belon_4_matrix_1,Mind_belon_4_matrix_2,Mind_belon_4_matrix_3,Mind_belon_4_matrix_4,Mind_FO_5_matrix_1,Mind_FO_5_matrix_2,V2_Econ_Condition,Recoded_Sales
81,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,-1.0,-1.0
82,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,-1.0,0.0
83,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,0.0
85,5.0,5.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,-2.0,0.0
86,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0
87,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,4.0
88,4.0,4.0,3.0,5.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,-1.0,-4.0
89,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0
90,3.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,-2.0,4.0
91,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,-3.0
92,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,-1.0,-1.0
93,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0
94,2.0,2.0,5.0,5.0,3.0,1.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,0.0
95,5.0,5.0,5.0,4.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,-2.0,-4.0
96,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0
99,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,-1.0,-4.0
100,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,-1.0,0.0
101,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,-2.0,-4.0
102,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0
103,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0
105,4.0,4.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,-1.0,1.0
106,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0
107,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0
108,4.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,2.0
109,4.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0
110,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,1.0
113,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0
114,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,-2.0,0.0
115,2.0,4.0,1.0,4.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,-2.0,2.0
116,4.0,3.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,-1.0,3.0
117,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,-1.0,0.0
118,5.0,3.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,-2.0,-4.0
120,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-2.0,3.0
121,4.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,-1.0,0.0
122,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,-1.0,0.0
123,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,-2.0,-1.0
124,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,-2.0,-2.0
125,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,-2.0,-4.0
127,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,-1.0,1.0
128,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,-2.0,1.0
129,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,-4.0
130,4.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,-1.0,-1.0
131,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,0.0
133,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0
134,4.0,4.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,-2.0,0.0
135,2.0,3.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,0.0
136,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
137,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,4.0
138,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,-1.0,-4.0
140,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,-1.0,0.0
141,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,3.0
142,4.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,-2.0,-3.0
143,2.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,-2.0,-4.0
144,3.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,-1.0,-1.0
145,4.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,-2.0,-3.0
146,4.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,1.0
148,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,-1.0,-1.0
150,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,-1.0,0.0
151,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,-1.0,-2.0
152,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,-1.0,-4.0
155,3.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0
156,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,-1.0,-1.0
157,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,-1.0,-4.0
158,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,-1.0,-1.0
161,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,-2.0,-4.0
162,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,-1.0,0.0
163,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,1.0
164,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,-1.0,0.0
165,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,-1.0,0.0
166,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,-1.0,0.0
168,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,-1.0,-2.0
169,4.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,3.0
